UUID,Major,Minor,RSSI,X,Y,Timestamp,SessId
b9407f30f5f8466eaff925556b57fe6d,1,9616,-69,2.2532938170955883,4.570564715073529,1494768668146,23
b9407f30f5f8466eaff925556b57fe6d,1,9618,-66,2.2884359577205884,4.560890371323529,1494768668197,23
b9407f30f5f8466eaff925556b57fe6d,1,9609,-90,2.366988977941176,4.539265367647059,1494768668311,23
b9407f30f5f8466eaff925556b57fe6d,1,9617,-74,2.379392086397059,4.535850893382353,1494768668329,23
b9407f30f5f8466eaff925556b57fe6d,1,9616,-68,2.3938623795955882,4.531867340073529,1494768668350,23
b9407f30f5f8466eaff925556b57fe6d,1,9618,-73,2.4310717049632355,4.5216239172794115,1494768668404,23
b9407f30f5f8466eaff925556b57fe6d,1,9619,-92,2.4820622619485295,4.507586634191176,1494768668478,23
b9407f30f5f8466eaff925556b57fe6d,1,9609,-90,2.5096247251838237,4.499998913602941,1494768668518,23
b9407f30f5f8466eaff925556b57fe6d,1,9617,-95,2.520649710477941,4.496963825367647,1494768668534,23
b9407f30f5f8466eaff925556b57fe6d,1,9616,-68,2.5358090652573533,4.492790579044118,1494768668556,23
b9407f30f5f8466eaff925556b57fe6d,1,9618,-64,2.570262144301471,4.483305928308823,1494768668606,23
b9407f30f5f8466eaff925556b57fe6d,1,9609,-79,2.6577729650735296,4.459214915441176,1494768668733,23
b9407f30f5f8466eaff925556b57fe6d,1,9617,-79,2.684646366727941,4.451816887867647,1494768668772,23
b9407f30f5f8466eaff925556b57fe6d,1,9616,-73,2.696360413602941,4.448592106617647,1494768668789,23
b9407f30f5f8466eaff925556b57fe6d,1,9618,-73,2.7066963373161763,4.445746711397058,1494768668804,23
b9407f30f5f8466eaff925556b57fe6d,1,9619,-87,2.760443140625,4.430950656249999,1494768668882,23
b9407f30f5f8466eaff925556b57fe6d,1,9609,-80,2.789383727022059,4.422983549632352,1494768668924,23
b9407f30f5f8466eaff925556b57fe6d,1,9617,-88,2.8045430818014703,4.418810303308823,1494768668946,23
b9407f30f5f8466eaff925556b57fe6d,1,9616,-76,2.821080559742647,4.414257670955882,1494768668970,23
b9407f30f5f8466eaff925556b57fe6d,1,9618,-76,2.8458867766544116,4.40742872242647,1494768669006,23
b9407f30f5f8466eaff925556b57fe6d,1,9609,-76,2.9540694448529417,4.377646919117646,1494768669163,23
b9407f30f5f8466eaff925556b57fe6d,1,9617,-95,2.969917861213235,4.373283979779411,1494768669186,23
b9407f30f5f8466eaff925556b57fe6d,1,9616,-70,2.9733631691176474,4.372335514705882,1494768669191,23
b9407f30f5f8466eaff925556b57fe6d,1,9618,-66,2.9919678318014706,4.3672138033088235,1494768669218,23
b9407f30f5f8466eaff925556b57fe6d,1,9619,-90,3.0498490045955884,4.3512795900735295,1494768669302,23
b9407f30f5f8466eaff925556b57fe6d,1,9609,-79,3.073277098345588,4.344830027573529,1494768669336,23
b9407f30f5f8466eaff925556b57fe6d,1,9617,-82,3.088436453125,4.34065678125,1494768669358,23
b9407f30f5f8466eaff925556b57fe6d,1,9616,-63,3.1084192389705882,4.335155683823529,1494768669387,23
b9407f30f5f8466eaff925556b57fe6d,1,9618,-70,3.1318473327205885,4.328706121323529,1494768669421,23
b9407f30f5f8466eaff925556b57fe6d,1,9619,-87,3.1862831976102943,4.313720373161765,1494768669500,23
b9407f30f5f8466eaff925556b57fe6d,1,9609,-78,3.2372737545955883,4.299683090073529,1494768669574,23
b9407f30f5f8466eaff925556b57fe6d,1,9617,-76,3.250365924632353,4.296078922794117,1494768669593,23
b9407f30f5f8466eaff925556b57fe6d,1,9616,-68,3.251744047794118,4.2956995367647055,1494768669595,23
b9407f30f5f8466eaff925556b57fe6d,1,9618,-58,3.2724158952205884,4.2900087463235295,1494768669625,23
b9407f30f5f8466eaff925556b57fe6d,1,9619,-70,3.324784575367647,4.275592077205882,1494768669701,23
b9407f30f5f8466eaff925556b57fe6d,1,9609,-82,3.3530361001838234,4.267814663602941,1494768669742,23
b9407f30f5f8466eaff925556b57fe6d,1,9617,-75,3.3709517012867645,4.2628826452205875,1494768669768,23
b9407f30f5f8466eaff925556b57fe6d,1,9616,-61,3.3985141645220587,4.255294924632352,1494768669808,23
b9407f30f5f8466eaff925556b57fe6d,1,9618,-65,3.4233203814338236,4.248465976102941,1494768669844,23
b9407f30f5f8466eaff925556b57fe6d,1,9616,-66,3.409622188015393,4.221648477735019,1494768669999,23
b9407f30f5f8466eaff925556b57fe6d,1,9618,-64,3.3818366179219352,4.216297505772402,1494768670033,23
b9407f30f5f8466eaff925556b57fe6d,1,9609,-80,3.2862215678944477,4.1978838669598675,1494768670150,23
b9407f30f5f8466eaff925556b57fe6d,1,9617,-79,3.2674254469488733,4.1942640918086855,1494768670173,23
b9407f30f5f8466eaff925556b57fe6d,1,9616,-69,3.2396398768554153,4.1889131198460685,1494768670207,23
b9407f30f5f8466eaff925556b57fe6d,1,9618,-72,3.2167576426608027,4.184506437053326,1494768670235,23
b9407f30f5f8466eaff925556b57fe6d,1,9619,-87,3.14320760417812,4.1703420995052225,1494768670325,23
b9407f30f5f8466eaff925556b57fe6d,1,9609,-81,3.1203253699835076,4.165935416712479,1494768670353,23
b9407f30f5f8466eaff925556b57fe6d,1,9617,-78,3.101529249037933,4.162315641561297,1494768670376,23
b9407f30f5f8466eaff925556b57fe6d,1,9616,-69,3.0688403430456295,4.1560203804288065,1494768670416,23
b9407f30f5f8466eaff925556b57fe6d,1,9618,-72,3.0459581088510173,4.151613697636064,1494768670444,23
b9407f30f5f8466eaff925556b57fe6d,1,9619,-93,2.9789458515667953,4.138708412314458,1494768670526,23
b9407f30f5f8466eaff925556b57fe6d,1,9609,-91,2.9503430588235293,4.133200058823529,1494768670561,23
b9407f30f5f8466eaff925556b57fe6d,1,9617,-75,2.9111163716327653,4.12564574546454,1494768670609,23
b9407f30f5f8466eaff925556b57fe6d,1,9616,-72,2.8931374733369983,4.122183351841671,1494768670631,23
b9407f30f5f8466eaff925556b57fe6d,1,9618,-68,2.880061910940077,4.119665247388674,1494768670647,23
b9407f30f5f8466eaff925556b57fe6d,1,9619,-87,2.810597985706432,4.106287817482133,1494768670732,23
b9407f30f5f8466eaff925556b57fe6d,1,9609,-76,2.7819951929631666,4.100779463991204,1494768670767,23
b9407f30f5f8466eaff925556b57fe6d,1,9617,-78,2.764833517317207,4.097474451896646,1494768670788,23
b9407f30f5f8466eaff925556b57fe6d,1,9616,-89,2.737865169873557,4.092280861462342,1494768670821,23
b9407f30f5f8466eaff925556b57fe6d,1,9618,-65,2.7182518262781747,4.088503704782847,1494768670845,23
b9407f30f5f8466eaff925556b57fe6d,1,9619,-98,2.6463362330951075,4.074654130291369,1494768670933,23
b9407f30f5f8466eaff925556b57fe6d,1,9609,-75,2.6103784365035736,4.067729343045629,1494768670977,23
b9407f30f5f8466eaff925556b57fe6d,1,9617,-81,2.593216760857614,4.064424330951072,1494768670998,23
b9407f30f5f8466eaff925556b57fe6d,1,9616,-81,2.5703345266630016,4.060017648158328,1494768671026,23
b9407f30f5f8466eaff925556b57fe6d,1,9618,-73,2.55399007366685,4.056870017592083,1494768671046,23
b9407f30f5f8466eaff925556b57fe6d,1,9619,-90,2.476353921935129,4.041918772402418,1494768671141,23
b9407f30f5f8466eaff925556b57fe6d,1,9609,-81,2.443665015942826,4.035623511269928,1494768671181,23
b9407f30f5f8466eaff925556b57fe6d,1,9617,-75,2.4224172270478284,4.03153159153381,1494768671207,23
b9407f30f5f8466eaff925556b57fe6d,1,9616,-78,2.4052555514018694,4.028226579439252,1494768671228,23
b9407f30f5f8466eaff925556b57fe6d,1,9619,-92,2.3080060560747664,4.0094981775700935,1494768671347,23
b9407f30f5f8466eaff925556b57fe6d,1,9609,-76,2.2785860406816933,4.003832442550852,1494768671383,23
b9407f30f5f8466eaff925556b57fe6d,1,9617,-72,2.251617693238043,3.9986388521165472,1494768671416,23
b9407f30f5f8466eaff925556b57fe6d,1,9616,-78,2.233638794942276,3.9951764584936775,1494768671438,23
b9407f30f5f8466eaff925556b57fe6d,1,9618,-64,2.220563232545355,3.9926583540406813,1494768671454,23
b9407f30f5f8466eaff925556b57fe6d,1,9619,-88,2.1421098581638263,3.9775497273227045,1494768671550,23
b9407f30f5f8466eaff925556b57fe6d,1,9609,-76,2.109420952171523,3.971254466190214,1494768671590,23
b9407f30f5f8466eaff925556b57fe6d,1,9617,-57,2.0840870500274873,3.966375638812534,1494768671621,23
b9407f30f5f8466eaff925556b57fe6d,1,9616,-77,2.066108151731721,3.9629132451896645,1494768671643,23
b9407f30f5f8466eaff925556b57fe6d,1,9618,-66,2.0546670346344147,3.9607099037932927,1494768671657,23
b9407f30f5f8466eaff925556b57fe6d,1,9619,-66,1.978665328202309,3.9460734216602527,1494768671750,23
b9407f30f5f8466eaff925556b57fe6d,1,9609,-74,1.9476108675096206,3.9400929235843867,1494768671788,23
b9407f30f5f8466eaff925556b57fe6d,1,9617,-80,1.9181908521165476,3.934427188565145,1494768671824,23
b9407f30f5f8466eaff925556b57fe6d,1,9616,-75,1.9010291764705882,3.931122176470588,1494768671845,23
b9407f30f5f8466eaff925556b57fe6d,1,9618,-70,1.8887708367234746,3.928761453545904,1494768671860,23
b9407f30f5f8466eaff925556b57fe6d,1,9619,-88,1.806231349092908,3.9128659191863657,1494768671961,23
b9407f30f5f8466eaff925556b57fe6d,1,9609,-76,1.7792630016492579,3.9076723287520614,1494768671994,23
b9407f30f5f8466eaff925556b57fe6d,1,9617,-79,1.7514774315558,3.9023213567894444,1494768672028,23
b9407f30f5f8466eaff925556b57fe6d,1,9616,-79,1.737584646509071,3.8996458708081363,1494768672045,23
b9407f30f5f8466eaff925556b57fe6d,1,9618,-72,1.7212401935129191,3.896498240241891,1494768672065,23
b9407f30f5f8466eaff925556b57fe6d,1,9619,-91,1.6395179285321606,3.880760087410665,1494768672165,23
b9407f30f5f8466eaff925556b57fe6d,1,9609,-83,1.6133668037383178,3.875723878504673,1494768672197,23
b9407f30f5f8466eaff925556b57fe6d,1,9617,-78,1.5872156789444751,3.8706876695986803,1494768672229,23
b9407f30f5f8466eaff925556b57fe6d,1,9616,-86,1.5716884485981308,3.8676974205607473,1494768672248,23
b9407f30f5f8466eaff925556b57fe6d,1,9618,-64,1.5610645541506323,3.865651460692688,1494768672261,23
b9407f30f5f8466eaff925556b57fe6d,1,9609,-76,1.4491050511269927,3.8440901913139087,1494768672398,23
b9407f30f5f8466eaff925556b57fe6d,1,9617,-72,1.4180505904343046,3.8381096932380427,1494768672436,23
b9407f30f5f8466eaff925556b57fe6d,1,9616,-80,1.404975028037383,3.8355915887850465,1494768672452,23
b9407f30f5f8466eaff925556b57fe6d,1,9618,-64,1.3935339109400768,3.833388247388675,1494768672466,23
b9407f30f5f8466eaff925556b57fe6d,1,9619,-92,1.3036394194612426,3.816076279274326,1494768672576,23
b9407f30f5f8466eaff925556b57fe6d,1,9609,-89,1.2791227399670149,3.8113548334249585,1494768672606,23
b9407f30f5f8466eaff925556b57fe6d,1,9617,-81,1.2505199472237494,3.8058464799340297,1494768672641,23
b9407f30f5f8466eaff925556b57fe6d,1,9616,-77,1.234992716877405,3.8028562308960967,1494768672660,23
b9407f30f5f8466eaff925556b57fe6d,1,9618,-77,1.215379373282023,3.7990790742166025,1494768672684,23
b9407f30f5f8466eaff925556b57fe6d,1,9619,-86,1.1385604442001096,3.78428521055525,1494768672778,23
b9407f30f5f8466eaff925556b57fe6d,1,9609,-82,1.108323206157229,3.7784620940076965,1494768672815,23
b9407f30f5f8466eaff925556b57fe6d,1,9617,-79,1.0854409719626168,3.7740554112149534,1494768672843,23
b9407f30f5f8466eaff925556b57fe6d,1,9616,-85,1.0666448510170419,3.770435636063771,1494768672866,23
b9407f30f5f8466eaff925556b57fe6d,1,9618,-68,1.0527520659703131,3.767760150082463,1494768672883,23
b9407f30f5f8466eaff925556b57fe6d,1,9619,-90,0.9718470236393624,3.752179378779549,1494768672982,23
b9407f30f5f8466eaff925556b57fe6d,1,9609,-82,0.9318031137987903,3.7444676838922484,1494768673031,23
b9407f30f5f8466eaff925556b57fe6d,1,9617,-80,0.9097381022539857,3.7402183826278175,1494768673058,23
b9407f30f5f8466eaff925556b57fe6d,1,9616,-76,0.8991142078064871,3.738172422759758,1494768673071,23
b9407f30f5f8466eaff925556b57fe6d,1,9618,-72,0.8819525321605277,3.7348674106652004,1494768673092,23
b9407f30f5f8466eaff925556b57fe6d,1,9619,-88,0.8010474898295765,3.719286639362287,1494768673191,23
b9407f30f5f8466eaff925556b57fe6d,1,9609,-94,0.7691758064870804,3.7131487597581088,1494768673230,23
b9407f30f5f8466eaff925556b57fe6d,1,9617,-81,0.7454763496426606,3.708584695437053,1494768673259,23
b9407f30f5f8466eaff925556b57fe6d,1,9616,-75,0.7299491192963168,3.7055944463991204,1494768673278,23
b9407f30f5f8466eaff925556b57fe6d,1,9618,-68,0.7168735568993951,3.703076341946124,1494768673294,23
b9407f30f5f8466eaff925556b57fe6d,1,9619,-67,0.6343340692688288,3.6871808075865857,1494768673395,23
b9407f30f5f8466eaff925556b57fe6d,1,9609,-84,0.5869351555799889,3.678052678944475,1494768673453,23
b9407f30f5f8466eaff925556b57fe6d,1,9617,-78,0.570590702583837,3.6749050483782297,1494768673473,23
b9407f30f5f8466eaff925556b57fe6d,1,9616,-72,0.5583323628367234,3.6725443254535457,1494768673488,23
b9407f30f5f8466eaff925556b57fe6d,1,9618,-71,0.5534290269378781,3.6716000362836723,1494768673494,23
b9407f30f5f8466eaff925556b57fe6d,1,9617,-76,0.5078803022339027,3.5525037056504596,1494768673674,23
b9407f30f5f8466eaff925556b57fe6d,1,9616,-76,0.5086921042487954,3.5375729303547963,1494768673690,23
b9407f30f5f8466eaff925556b57fe6d,1,9618,-64,0.5090472676303109,3.531040716162943,1494768673697,23
b9407f30f5f8466eaff925556b57fe6d,1,9619,-85,0.5140195549715286,3.439589717477004,1494768673795,23
